degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
MCA,Artificial Intelligence,8.54,81.0,78.4,"Data Analysis, TensorFlow, PyTorch, Python","Neural Networks:C,Machine Learning:B+,Linear Algebra:A-","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Backend Developer:4 months,1,Full Stack Developer
BA,Economics,8.23,87.7,79.5,"Economic Research, Stata, Data Analysis","Public Finance:A,Microeconomics:B,Econometrics:A-,Statistics:B,Macroeconomics:A-","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:1 months,9,UX Designer
MBA,Marketing,7.81,95.4,84.0,"Social Media, Content Strategy, Google Analytics","Brand Management:B+,Digital Marketing:C,Market Research:A-,Marketing Management:A+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",,8,Marketing Specialist
B.Sc,Computer Science,7.19,88.7,71.8,"Python, System Design, Java","Web Development:A,DBMS:B+,Computer Networks:A-,Operating Systems:C,Compiler Design:C","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:6 months,4,Economist
M.Sc,Computer Science,7.24,76.5,95.6,"C++, Git, Python, Java, System Design","Data Structures and Algorithms:C,DBMS:A-,Computer Networks:A,Web Development:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",,3,Economist
BA,Data Science,7.55,92.9,97.3,"R, Python, SQL, Power BI, Tableau","Linear Algebra:A-,Machine Learning:A-,Big Data Analytics:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:6 months,7,UX Designer
B.Tech,Information Technology,8.61,84.4,96.3,"AWS, Network Administration, Linux, SQL","Database Management Systems:C,Computer Networks:B+,Web Technologies:B,Cloud Computing:A,Cyber Security:B","Stock Price Predictor: Python, TensorFlow, LSTM",,7,Data Scientist
BBA,Finance,8.39,96.4,92.5,"GST, Excel, Tally, Financial Modeling","Risk Management:A,Corporate Finance:C,Financial Management:A+,Accounting:A","GST Compliance Tool: Tally, SQL",,7,Financial Analyst
MA,Computer Science,8.91,97.6,88.6,"C++, Java, Git, System Design","Web Development:A,DBMS:B+,Data Structures and Algorithms:A-","E-commerce API: Node.js, Express, MongoDB",,9,Economist
Diploma,Civil Engineering,8.92,70.6,80.6,"Site Supervision, Project Management, Estimation","Structural Analysis:B+,AutoCAD:A-,Geotechnical Engineering:B,Construction Management:B+","Bridge Design: AutoCAD, Structural Analysis",,8,Structural Engineer
B.Tech,Computer Science,9.16,80.2,82.7,"Git, Java, Python","Computer Networks:B+,Web Development:B,DBMS:C,Compiler Design:A,Data Structures and Algorithms:A-","Customer Segmentation: Python, Scikit-learn, K-means",Data Analyst:3 months,7,Data Analyst
B.Tech,Information Technology,9.44,81.3,93.4,"AWS, Network Administration, SQL, Linux","Cloud Computing:C,Database Management Systems:B,Cyber Security:B+,Web Technologies:B+,Computer Networks:B+","Customer Segmentation: Python, Scikit-learn, K-means; Disease Detection: Deep Learning, PyTorch, CNN",Data Scientist:4 months; Data Analyst:1 months,2,Machine Learning Engineer
B.Tech,Civil Engineering,8.97,78.1,86.5,"Estimation, Project Management, Site Supervision","Structural Analysis:C,Geotechnical Engineering:B,AutoCAD:A","Bridge Design: AutoCAD, Structural Analysis",Structural Intern:5 months,4,Site Engineer
MA,Computer Science,8.4,70.0,95.1,"Java, C++, System Design, Git, Python","Data Structures and Algorithms:B,Computer Networks:A,Web Development:A,Compiler Design:A-","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",,0,Research Analyst
BCA,Artificial Intelligence,8.56,93.4,86.1,"TensorFlow, PyTorch, Data Analysis","Linear Algebra:B+,Deep Learning:B+,Neural Networks:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:1 months; Backend Developer:6 months,9,Full Stack Developer
MCA,Computer Science,9.29,89.8,83.9,"Python, System Design, Java, Git, C++","Data Structures and Algorithms:A-,Compiler Design:A,Operating Systems:A,Web Development:A,Computer Networks:B","Customer Segmentation: Python, Scikit-learn, K-means",,2,Machine Learning Engineer
M.Tech,Artificial Intelligence,8.39,88.0,71.5,"PyTorch, TensorFlow, Data Analysis","Deep Learning:B+,Linear Algebra:B+,NLP:B,Machine Learning:C,Neural Networks:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:1 months,4,Frontend Developer
BCA,Data Science,8.73,96.4,79.2,"SQL, Tableau, Python","Machine Learning:A-,Statistics:A+,Linear Algebra:A","NLP Chatbot: Python, NLTK, Flask; Disease Detection: Deep Learning, PyTorch, CNN",Data Analyst:3 months,9,Data Scientist
MCA,Computer Science,7.94,79.5,71.1,"System Design, Git, C++, Python","Operating Systems:A-,DBMS:A-,Compiler Design:B,Computer Networks:B+,Data Structures and Algorithms:A+","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:3 months,0,Backend Developer
BCA,Information Technology,9.65,89.6,81.3,"Linux, AWS, Network Administration, SQL","Cyber Security:A-,Web Technologies:A-,Computer Networks:A,Database Management Systems:C,Cloud Computing:B+","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:6 months,9,Backend Developer
B.Tech,Artificial Intelligence,8.4,89.5,83.0,"PyTorch, TensorFlow, Data Analysis","Machine Learning:B+,NLP:C,Linear Algebra:A,Deep Learning:A-","E-commerce API: Node.js, Express, MongoDB",,6,Backend Developer
B.Com,Finance,7.45,89.1,75.1,"Excel, GST, Tally, Financial Modeling","Accounting:B,Corporate Finance:C,Investment Analysis:B+,Financial Management:A","GST Compliance Tool: Tally, SQL",Tax Consultant:1 months; Audit Assistant:6 months,7,Accountant
BCA,Artificial Intelligence,8.06,73.3,76.8,"PyTorch, Data Analysis, TensorFlow","Linear Algebra:B+,Neural Networks:A,Deep Learning:A,Machine Learning:B,Statistics:A-","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,5,Frontend Developer
MA,Artificial Intelligence,9.4,90.7,70.1,"Data Analysis, Python, TensorFlow","Linear Algebra:B,Neural Networks:B+,Statistics:A,Machine Learning:C","Task Management App: React, Redux, Firebase",DevOps Engineer:3 months,0,Research Analyst
MA,Finance,8.58,81.0,71.2,"GST, Financial Modeling, Excel, Tally","Financial Management:B,Risk Management:C,Investment Analysis:B+,Accounting:B+","Brand Revitalization: Marketing, Social Media",Product Management:3 months,9,Business Analyst
M.Tech,Civil Engineering,7.54,97.6,90.6,"Project Management, Site Supervision, Estimation","Construction Management:B,STAAD Pro:C,Structural Analysis:B,AutoCAD:A+","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",Quantity Surveyor:1 months,4,Site Engineer
B.Tech,Civil Engineering,7.86,75.8,86.9,"Project Management, Site Supervision, Estimation","Structural Analysis:A,Construction Management:B,Geotechnical Engineering:A-,STAAD Pro:C","Bridge Design: AutoCAD, Structural Analysis; Smart City Drainage: STAAD Pro, Surveying",Structural Intern:1 months,7,Construction Manager
Diploma,Civil Engineering,7.18,78.4,80.2,"Site Supervision, Estimation, Project Management","Geotechnical Engineering:C,Construction Management:C,Structural Analysis:B+","Bridge Design: AutoCAD, Structural Analysis",Site Engineer:5 months; Quantity Surveyor:6 months,10,Construction Manager
MA,Civil Engineering,9.08,88.5,75.5,"Project Management, Site Supervision, Estimation","STAAD Pro:C,Geotechnical Engineering:C,AutoCAD:C,Structural Analysis:C,Construction Management:A-","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:6 months,2,HR Manager
M.Sc,Information Technology,8.43,90.8,73.5,"SQL, Linux, Network Administration","Cyber Security:A,Cloud Computing:A-,Computer Networks:A,Web Technologies:A,Database Management Systems:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,3,UX Designer
BCA,Artificial Intelligence,9.11,79.6,81.7,"Data Analysis, PyTorch, Python, TensorFlow","Machine Learning:C,Statistics:A-,Neural Networks:C,Deep Learning:B,Linear Algebra:C","E-commerce API: Node.js, Express, MongoDB",Software Developer:5 months; DevOps Engineer:3 months,10,Frontend Developer
B.Tech,Civil Engineering,9.7,96.2,70.1,"Estimation, Site Supervision, Project Management","Construction Management:C,STAAD Pro:A+,AutoCAD:A-,Geotechnical Engineering:B","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",Structural Intern:5 months,10,Civil Engineer
B.Tech,Data Science,8.66,76.2,74.9,"Python, Tableau, Power BI, R, SQL","Machine Learning:C,Big Data Analytics:B+,Statistics:A-","E-commerce API: Node.js, Express, MongoDB",,0,DevOps Engineer
B.Tech,Civil Engineering,7.53,89.2,90.9,"Estimation, Project Management, Site Supervision","Construction Management:C,Geotechnical Engineering:B,Structural Analysis:B,STAAD Pro:C","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:1 months; Site Engineer:2 months,1,Construction Manager
BCA,Information Technology,7.87,93.8,73.8,"AWS, Network Administration, SQL, Linux","Database Management Systems:B+,Web Technologies:A,Cloud Computing:C","NLP Chatbot: Python, NLTK, Flask; Customer Segmentation: Python, Scikit-learn, K-means",Machine Learning Engineer:4 months,10,Data Analyst
BCA,Artificial Intelligence,7.08,78.8,83.4,"TensorFlow, Data Analysis, Python, PyTorch","Deep Learning:B+,Linear Algebra:C,NLP:B+,Machine Learning:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",DevOps Engineer:6 months,7,Backend Developer
B.Sc,Data Science,8.29,97.4,82.5,"R, Tableau, Power BI, Python","Statistics:C,Big Data Analytics:B+,Linear Algebra:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Software Developer:3 months,5,Mechanical Engineer
MA,Finance,8.6,84.5,83.8,"Excel, GST, Financial Modeling, Tally","Corporate Finance:A,Investment Analysis:B,Risk Management:C,Accounting:B,Financial Management:A-","Brand Revitalization: Marketing, Social Media",Business Analyst:2 months; Marketing Intern:5 months,2,Product Manager
M.Tech,Civil Engineering,8.39,79.0,79.7,"Project Management, Site Supervision, Estimation","Construction Management:A-,Structural Analysis:B+,AutoCAD:A-,Geotechnical Engineering:B+","Smart City Drainage: STAAD Pro, Surveying",Structural Intern:4 months,6,Civil Engineer
BCA,Data Science,9.18,89.7,87.3,"Power BI, Python, Tableau","Data Mining:A,Statistics:B+,Big Data Analytics:A-,Machine Learning:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",,7,Full Stack Developer
M.Com,Finance,8.92,79.5,70.2,"Financial Modeling, Excel, Tally","Investment Analysis:A,Corporate Finance:A-,Accounting:A","Risk Analysis Report: Financial Modeling, Valuation",Tax Consultant:5 months,3,Financial Analyst
MCA,Information Technology,7.74,95.2,73.9,"AWS, SQL, Linux, Network Administration","Web Technologies:A-,Database Management Systems:C,Cloud Computing:C,Cyber Security:B+,Computer Networks:C","Disease Detection: Deep Learning, PyTorch, CNN",Data Analyst:1 months; Data Analyst:6 months,6,Data Analyst
M.Tech,Information Technology,7.73,75.8,97.0,"SQL, AWS, Linux","Database Management Systems:B,Computer Networks:A-,Cyber Security:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,Full Stack Developer
MCA,Data Science,8.84,83.7,78.4,"Python, R, Tableau","Statistics:B,Machine Learning:B,Big Data Analytics:B+","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:3 months; Backend Developer:5 months,9,Software Engineer
M.Tech,Artificial Intelligence,7.27,70.4,91.5,"Python, Data Analysis, TensorFlow","Statistics:B+,Linear Algebra:A,Neural Networks:A,Deep Learning:A-,Machine Learning:A","Disease Detection: Deep Learning, PyTorch, CNN",,4,Machine Learning Engineer
B.Com,Finance,8.66,86.2,88.1,"GST, Financial Modeling, Excel","Accounting:A-,Corporate Finance:B,Financial Management:A+","Portfolio Optimization: Python, Excel, Statistics",Financial Analyst:5 months,7,Financial Analyst
MCA,Information Technology,9.23,94.8,74.0,"Linux, SQL, Network Administration","Cloud Computing:C,Cyber Security:C,Computer Networks:B,Database Management Systems:B+","Disease Detection: Deep Learning, PyTorch, CNN",,5,AI Engineer
Diploma,Civil Engineering,7.94,89.3,91.2,"Estimation, Project Management, Site Supervision","Construction Management:C,Geotechnical Engineering:A-,AutoCAD:C","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:5 months; Site Engineer:1 months,4,Construction Manager
M.Tech,Data Science,8.75,70.3,80.0,"Power BI, R, SQL, Python","Linear Algebra:A+,Big Data Analytics:A,Data Mining:B+","NLP Chatbot: Python, NLTK, Flask; Stock Price Predictor: Python, TensorFlow, LSTM",Data Analyst:3 months; Data Analyst:2 months,4,Machine Learning Engineer
B.Tech,Information Technology,7.4,88.5,86.6,"SQL, Network Administration, AWS","Database Management Systems:B,Cloud Computing:A-,Computer Networks:B+,Web Technologies:B","Customer Segmentation: Python, Scikit-learn, K-means; Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:3 months; Machine Learning Engineer:2 months,6,Data Analyst
B.Tech,Data Science,7.87,85.2,85.4,"R, Python, SQL","Linear Algebra:A-,Machine Learning:A-,Statistics:B+,Data Mining:A-,Big Data Analytics:B+","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:6 months,1,Machine Learning Engineer
BA,Finance,9.17,77.9,77.6,"Financial Modeling, GST, Excel, Tally","Risk Management:A-,Corporate Finance:A,Accounting:A,Investment Analysis:B+","Agile Product Launch: Jira, Scrum; Brand Revitalization: Marketing, Social Media",Product Management:6 months,3,Business Analyst
MCA,Artificial Intelligence,7.52,88.3,76.2,"Data Analysis, PyTorch, TensorFlow","Deep Learning:A,Machine Learning:A+,Statistics:C,NLP:A-","Stock Price Predictor: Python, TensorFlow, LSTM",Data Scientist:1 months; Data Analyst:6 months,3,Machine Learning Engineer
B.Com,Finance,9.63,80.7,87.0,"GST, Tally, Financial Modeling","Accounting:C,Financial Management:A+,Investment Analysis:C,Corporate Finance:A-,Risk Management:B","Portfolio Optimization: Python, Excel, Statistics",Financial Analyst:6 months,9,Financial Analyst
MA,Data Science,7.89,92.1,71.1,"Tableau, Python, Power BI","Data Mining:A-,Statistics:A,Big Data Analytics:A-,Machine Learning:C","Brand Revitalization: Marketing, Social Media; Market Entry Strategy: Research, Strategy",Business Analyst:1 months,0,Business Analyst
B.Tech,Information Technology,9.37,89.3,82.2,"SQL, Linux, AWS","Web Technologies:C,Cloud Computing:B,Cyber Security:C,Database Management Systems:B+,Computer Networks:A","Disease Detection: Deep Learning, PyTorch, CNN",Data Scientist:2 months,4,Machine Learning Engineer
MBA,Marketing,9.54,86.1,88.6,"SEO, Google Analytics, Content Strategy, Social Media","Marketing Management:A-,Digital Marketing:B+,Consumer Behavior:A,Market Research:B+","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:6 months; Frontend Developer:4 months,8,Marketing Specialist
MCA,Data Science,8.97,86.7,83.9,"Power BI, R, SQL, Tableau","Data Mining:A,Linear Algebra:A-,Machine Learning:A+,Statistics:A","Disease Detection: Deep Learning, PyTorch, CNN",,3,AI Engineer
B.Sc,Civil Engineering,9.41,73.0,81.5,"Estimation, Site Supervision, Project Management","Geotechnical Engineering:A,Structural Analysis:A-,STAAD Pro:B,AutoCAD:B+","E-commerce API: Node.js, Express, MongoDB",,6,Research Analyst
MA,Computer Science,7.99,80.4,75.6,"Python, C++, System Design","Compiler Design:B+,Operating Systems:B+,Web Development:A-","Task Management App: React, Redux, Firebase",DevOps Engineer:5 months,7,Research Analyst
BBA,Finance,8.86,92.3,73.1,"GST, Tally, Excel, Financial Modeling","Corporate Finance:C,Financial Management:A,Accounting:A,Risk Management:C","Portfolio Optimization: Python, Excel, Statistics; GST Compliance Tool: Tally, SQL",Tax Consultant:4 months,5,Accountant
BA,Mechanical Engineering,9.7,79.7,83.6,"MATLAB, SolidWorks, Manufacturing","CAD/CAM:B,Ansys:A,Solid Mechanics:C,Thermodynamics:A+","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,8,Mechanical Engineer
B.Sc,Civil Engineering,7.03,92.6,83.2,"Project Management, Estimation, Site Supervision","Geotechnical Engineering:A-,Structural Analysis:C,AutoCAD:B+,Construction Management:A-,STAAD Pro:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",Backend Developer:2 months,6,Research Analyst
BA,Information Technology,8.08,73.5,72.0,"Network Administration, AWS, Linux","Database Management Systems:B,Cloud Computing:C,Cyber Security:B+,Computer Networks:B+","Task Management App: React, Redux, Firebase",Software Developer:1 months; Backend Developer:2 months,1,Economist
MA,Information Technology,8.34,77.6,79.6,"AWS, Network Administration, SQL, Linux","Database Management Systems:A,Computer Networks:A-,Cyber Security:A,Web Technologies:C,Cloud Computing:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",Frontend Developer:5 months; Software Developer:3 months,6,UX Designer
